ID	TOPIC	ENG	EST	CES	SLV
46	culture	On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.	1759. aasta 24. septembril allkirjastas Arthur Guinness 9000-aastase rendilepingu Iirima St James' Gate Brewery jaoks.	24. září 1759 podepsal Artur Guiness smlouvu o pronájmu pivovaru Brána Sv. Jakuba v Dublinu v Irsku na 9 000 let.	24. septembra 1759 je Arthur Guinness podpisal 9000 let trajajočo zakupno pogodbo za pivovarno St James' Gate v Dublinu na Irskem.
47	culture	250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.	250 aastat hiljem on Guinness kasvanud globaalseks äriks, mille iga-aastane käive ületab 10 miljardit eurot (14,7 miljardit USA dollarit).	O 250 let později se Guinness stává celosvětovým podnikem s obratem více než 10 miliard euro (14,7 miliardy dolarů) ročně.	250 let kasneje je podjetje Guinness zraslo v svetovno podjetje, ki letno obrne 10 milijard evrov (14,7 milijard USD).
119	Culture and entertainment	The game publisher Konami stated today in a Japanese newspaper that they will not be releasing the game Six Days in Fallujah.	Mängutootja Konami teatas täna Jaapani ajalehes, et nad ei avalda mängu „Six Days in Fallujah”.	Herní vydavatel Konami dnes v japonském tisku uvedl, že nebude vydávat hru Six Days in Fallujah.	Založnik iger Konami je danes za japonski časopis izjavil, da igre Šest dni v Faludži ne bodo izdali.
120	Culture and entertainment	The game is based on the Second Battle of Fallujah, a vicious battle between American and Iraqi forces.	Mäng põhineb teisel Fallujah' lahingul, Ameerika ja Iraagi vägede vahel toimunud julmal lahingul.	Hra je založena na druhé bitvě u Fallúdže, krutém střetu mezi americkými a iráckými silami.	Igra temelji na drugi bitki za Faludžo, surovi bitki med ameriškimi in iraškimi silami.
191	Culture and entertainment	Passengers were given water as they waited in 90(F)-degree heat.	Reisijatele, kes ootasid 90-kraadises (F) kuumuses, anti vett.	Pasažéři dostali vodu, protože čekali ve 30° horku.	Potnikom, ki so čakali pri 90-stopinjski (F) pripeki, so dali vodo.
192	Culture and entertainment	Fire captain Scott Kouns said, "It was a hot day in the Santa Clara with temperatures in the 90s.	"Tuletõrjeülem Scott Kouns ütles: ""Tegemist oli kuuma päevaga Santa Claras, mil temperatuurid ulatusid 90-ndate soojuskraadideni."	Kapitán požárníků Scott Kouns řekl: „Byl to tehdy v Santa Claře horký den s teplotami přes 30 stupňů.	Gasilski poveljnik Scott Knous je dejal: "V Santa Clari je bilo danes vroče, s temperaturami nad 90 stopinj.
193	Culture and entertainment	Any length of time trapped on a roller coaster would be uncomfortable, to say the least, and it took at least an hour to get the first person off the ride."	"Pole vahet kui kauaks ""Ameerika mägede"" atraktsioonile lõksu jäädakse, see oleks ikkagi tagasihoidlikult öeldes ebamugav, ja läks vähemalt tund aega, et esimene inimene karussellilt ära saada."	"Uvíznout na horské dráze po jakkoliv dlouhou dobu musí být přinejmenším nepříjemné, přičemž zabralo nejméně hodinu dostat z atrakce prvního člověka."""	Biti ujet na vlaku smrti je milo rečeno neprijetno, kolikor dolgo že traja, da smo z vlakca spravili prvo osebo, pa smo potrebovali najmanj eno uro."
495	roman culture/medicine	The militaristic nature of the Roman empire aided in the development of medical advances.	Rooma impeeriumi militaristlik olemus aitas kaasa meditsiiniuuenduste arengule.	Militaristická povaha Římské říše přispěla k lékařským pokrokům.	Vojaška narava Rimskega imperija je pripomogla k hitrejšemu medicinskemu napredku.
496	roman culture/medicine	Doctors began to be recruited by Emperor Augustus and even formed the first Roman Medical Corps for use in the aftermath of battles.	Arste hakkas värbama keiser Augustus ja moodustati isegi esimene Rooma meditsiinikorpus, kelle abi kasutati lahingus vigastatute ravimiseks.	Rekrutovat lékaře začal císař Augustus a dokonce vytvořil první Římský lékařský sbor, který měl najít své uplatnění po skončení bitev.	Cesar Avgust je začel usposabljati zdravnike in ti so oblikovali prvi rimski zdravstveni korpus, namenjen okrevanju po bitkah.
497	roman culture/medicine	Surgeons had knowledge of various sedatives including morphine from extracts of poppy seeds and scopolamine from herbane seeds.	Kirurgid tundsid mitmesuguseid sedatiive, sh mooniseemnete ekstraktist saadud morfiin ja koera-pöörirohu seemnetest saadud skopolamiin.	Lékaři znali různá sedativa včetně morfia z výtažků máku a skopolaminu ze semen blínu.	Kirurgi so bili seznanjeni z različnimi pomirjevali, vključno z morfijem iz izvlečkov makovih semen in skopolaminom iz semen črnega razhudnika.
498	roman culture/medicine	They became proficient at amputation to save patients from gangrene as well as tourniquets and arterial clamps to stem blood flow.	Nendest said asjatundjad gangreeniga patsientide amputatsiooni teel päästmises ja verejooksu peatamises žguttide ning veresoone sulguritega.	Naučili se amputovat končetiny, aby zachránili pacienty před gangrénou, a také používat škrtidla a arteriální svorky k zastavení průtoku krve.	Izurili so se v amputiranju, da so oskrbovance rešili pred gangreno, ter v uporabi prevez in arterijskih sponk za zaustavitev pretoka krvi.
499	roman culture/medicine	Over multiple centuries, the Roman empire led to great gains in the field of medicine and formed much of the knowledge we know today.	Mitmete sajandite jooksul saavutas Rooma keisririik meditsiini valdkonnas suuri edusamme ja  pani aluse suurele osale meie tänapäeva teadmistest.	Po několik století dosahovalo římské impérium značných úspěchů na poli medicíny a zformovalo mnohé z toho, co víme dnes.	Rimski imperij je v nekaj stoletjih dosegel velike uspehe na področju medicine in oblikoval večino znanja, kot ga poznamo danes.
